fecha,temp_media,temp_maxima,temp_minima,prcp,humedad,viento,mes,anio,dia,temp_maxima_knn,temp_media_knn,temp_minima_knn,prcp_knn,humedad_knn,viento_knn,pres_knn
2009-01-01,19.65,24.0,15.3,0.0,54.0,11.6,January,2009,3,24.0,19.65,15.3,0.0,54.0,11.6,1014.9222
2009-01-02,21.7,25.7,17.7,0.0,54.0,6.2,January,2009,4,25.7,21.7,17.7,0.0,54.0,6.2,1012.8666566666667
2009-01-03,20.3,28.2,12.4,0.0,51.0,5.0,January,2009,5,28.2,20.3,12.4,0.0,51.0,5.0,1010.9110833333334
2009-01-04,22.9,32.6,13.2,0.0,40.0,4.9,January,2009,6,32.6,22.9,13.2,0.0,40.0,4.9,1009.3111166666667
2009-01-05,25.5,34.0,17.0,0.0,37.0,6.6,January,2009,0,34.0,25.5,17.0,0.0,37.0,6.6,1012.9333333333334
2009-01-06,26.4,35.2,17.6,5.0,41.0,8.0,January,2009,1,35.2,26.4,17.6,5.0,41.0,8.0,1007.8777666666666
2009-01-07,24.0,31.2,16.8,0.0,57.0,7.6,January,2009,2,31.2,24.0,16.8,0.0,57.0,7.6,1010.4555666666666
2009-01-08,25.8,33.0,18.6,0.0,50.0,5.0,January,2009,3,33.0,25.8,18.6,0.0,50.0,5.0,1006.7333400000001
2009-01-09,26.45,34.9,18.0,0.0,43.0,7.9,January,2009,4,34.9,26.45,18.0,0.0,43.0,7.9,1011.5333033333333
2009-01-10,26.5,32.0,21.0,0.0,50.0,10.4,January,2009,5,32.0,26.5,21.0,0.0,50.0,10.4,1009.2444466666666
2009-01-11,24.4,30.0,18.8,0.0,63.0,10.7,January,2009,6,30.0,24.4,18.8,0.0,63.0,10.7,1012.6340533333332
2009-01-12,25.1,29.9,20.3,0.7,59.0,10.7,January,2009,0,29.9,25.1,20.3,0.7,59.0,10.7,1013.02003
2009-01-13,24.0,28.0,20.0,0.0,77.0,3.7,January,2009,1,28.0,24.0,20.0,0.0,77.0,3.7,1007.0118666666667
