fecha,temp_media,temp_maxima,temp_minima,prcp,humedad,viento,pres
2009-01-01 00:00:00.0,19.65,24.0,15.3,0.0,54,11.6,
2009-01-02 00:00:00.0,21.7,25.7,17.7,0.0,54,6.2,
2009-01-03 00:00:00.0,20.3,28.2,12.4,0.0,51,5.0,
2009-01-04 00:00:00.0,22.9,32.6,13.2,0.0,40,4.9,
2009-01-05 00:00:00.0,25.5,34.0,17.0,0.0,37,6.6,
2009-01-06 00:00:00.0,26.4,35.2,17.6,5.0,41,8.0,
2009-01-07 00:00:00.0,24.0,31.2,16.8,0.0,57,7.6,
2009-01-08 00:00:00.0,25.8,33.0,18.6,0.0,50,5.0,
2009-01-09 00:00:00.0,26.45,34.9,18.0,0.0,43,7.9,
2009-01-10 00:00:00.0,26.5,32.0,21.0,0.0,50,10.4,
2009-01-11 00:00:00.0,24.4,30.0,18.8,0.0,63,10.7,
2009-01-12 00:00:00.0,25.1,29.9,20.3,0.7,59,10.7,
2009-01-13 00:00:00.0,24.0,28.0,20.0,0.0,77,3.7,
2009-01-14 00:00:00.0,24.9,32.0,17.8,0.0,62,5.4,
2009-01-15 00:00:00.0,27.55,34.9,20.2,0.0,55,4.7,
2009-01-16 00:00:00.0,27.4,35.8,19.0,0.0,50,6.7,
2009-01-17 00:00:00.0,29.1,36.0,22.2,1.0,50,11.4,
2009-01-18 00:00:00.0,19.6,25.0,14.2,0.0,48,8.1,
2009-01-19 00:00:00.0,20.0,28.8,11.2,0.0,54,5.3,
2009-01-20 00:00:00.0,23.05,33.9,12.2,0.0,40,4.4,
2009-01-21 00:00:00.0,25.5,35.2,15.8,0.0,45,6.8,
2009-01-22 00:00:00.0,28.25,34.7,21.8,0.0,48,10.7,
2009-01-23 00:00:00.0,28.45,34.9,22.0,0.0,54,10.4,
2009-01-24 00:00:00.0,29.8,36.4,23.2,0.4,53,9.2,
2009-01-25 00:00:00.0,25.5,30.0,21.0,0.0,64,8.6,
2009-01-26 00:00:00.0,23.6,30.0,17.2,0.0,59,11.4,
2009-01-27 00:00:00.0,26.2,30.2,22.2,10.0,65,10.3,
2009-01-28 00:00:00.0,24.3,28.6,20.0,0.6,72,10.8,
2009-01-29 00:00:00.0,25.5,29.0,22.0,0.5,71,10.3,
2009-01-30 00:00:00.0,22.9,25.8,20.0,1.0,84,10.6,
2009-01-31 00:00:00.0,22.8,29.0,16.6,0.0,47,2.9,
2009-02-01 00:00:00.0,19.0,29.0,9.0,0.0,49,4.3,
2009-02-02 00:00:00.0,22.9,32.8,13.0,11.0,55,7.5,
2009-02-03 00:00:00.0,24.5,31.0,18.0,0.0,77,4.9,
2009-02-04 00:00:00.0,27.5,34.0,21.0,0.0,72,9.6,
2009-02-05 00:00:00.0,22.3,24.8,19.8,4.0,78,6.0,
2009-02-06 00:00:00.0,23.0,29.0,17.0,0.0,38,2.7,
2009-02-07 00:00:00.0,21.6,29.8,13.4,0.0,51,8.0,
2009-02-08 00:00:00.0,25.05,32.4,17.7,0.0,48,4.8,
2009-02-09 00:00:00.0,26.8,35.2,18.4,0.0,54,5.8,
2009-02-10 00:00:00.0,26.3,32.2,20.4,47.0,84,3.5,
2009-02-11 00:00:00.0,22.1,27.4,16.8,0.0,62,7.9,
2009-02-12 00:00:00.0,20.6,29.7,11.5,0.0,53,4.3,
2009-02-13 00:00:00.0,23.7,31.4,16.0,0.0,58,5.0,
