Año,Mes,media,minima,maxima,precipitacion,wspd,presion
2009,December,20.97692308,16.25384615,27.48333333,6.325,,1010.5
2009,November,21.17931034,14.3862069,29.46153846,10.06666667,,1006.4
2009,October,18.65483871,10.79677419,28.24,3.98,,1011.6
2010,April,15.62916667,9.266666667,23.93,9.7,,1017.4
2010,August,10.125,2.603571429,18.66666667,0.0,,1020.6
2010,December,23.23214286,16.84285714,31.575,7.623076923,,1007.7
2010,February,22.396,17.724,28.37142857,4.93125,,1009.0
2010,January,24.48,16.925,31.33333333,5.525,,1009.1
2010,July,8.283333333,1.83,17.96,0.0,,1019.7
2010,June,10.41153846,3.769230769,19.15454545,0.92,,1019.4
2010,March,22.62142857,16.35714286,30.075,5.72,,1011.5
2010,May,12.46923077,6.107692308,20.65833333,0.857142857,,1017.7
2010,November,20.13103448,13.75862069,28.93636364,8.169230769,,1012.5
2010,October,16.5137931,9.703448276,25.67777778,6.585714286,,1015.9
2010,September,14.33846154,7.392307692,22.0,4.7,,1016.3
2011,April,17.432,10.504,25.79,6.8,,1014.3
2011,August,10.55357143,3.767857143,19.98888889,1.025,,1018.0
2011,December,23.03461538,15.83846154,31.34285714,2.116666667,,1011.6
2011,February,21.34166667,16.14166667,27.27692308,6.292857143,,1013.7
2011,January,23.26521739,17.16521739,31.96,8.711111111,,1009.1
2011,July,9.114285714,2.807142857,16.7,0.0,,1018.1
2011,June,8.728571429,2.767857143,17.40833333,1.1375,,1017.2
2011,March,20.04666667,13.53333333,28.51818182,4.918181818,,1013.7
2011,May,13.0,6.803571429,20.78571429,0.0,,1018.6
2011,November,21.56923077,15.54615385,30.55,10.19090909,,1011.3
2011,October,16.85185185,10.56296296,24.56363636,4.253333333,,1014.3
2011,September,16.448,9.036,25.73636364,10.0,,1016.7
2012,April,17.05517241,11.8,25.33125,5.2,10.1037037,1015.3
2012,August,11.83571429,5.537037037,19.94166667,0.428571429,18.83529412,1017.9
2012,December,22.81071429,16.5375,30.97272727,7.316666667,22.90769231,1007.1
2012,February,22.58965517,17.304,29.69230769,9.246666667,11.06666667,1009.3
2012,January,25.31,18.44137931,33.66666667,3.022222222,23.125,1009.2
2012,July,8.4,2.043478261,17.98333333,0.666666667,9.86,1020.0
2012,June,10.15666667,3.348275862,19.79285714,0.0,10.94814815,1016.6
2012,March,20.64482759,15.06666667,26.43076923,7.67,12.79375,1013.0
2012,May,14.86451613,8.982758621,21.82307692,0.5,10.35454545,1015.5
2012,November,20.68666667,14.53448276,28.13846154,3.9,22.0375,1011.9
2012,October,16.4137931,11.31923077,24.1,4.455555556,23.84444444,1012.2
2012,September,14.87931034,9.748,21.22,10.25555556,21.69565217,1016.6
2013,April,18.45555556,11.71153846,26.56666667,3.957142857,20.66428571,1014.9
2013,August,11.04,2.827586207,22.57142857,0.0,13.68181818,1019.5
2013,December,25.1,18.54444444,32.99,15.64615385,16.53333333,1008.1
2013,February,21.85,16.2173913,29.05,6.8625,21.18333333,1011.6
2013,January,23.33571429,17.33333333,31.50666667,4.172727273,21.25714286,1012.3
2013,July,9.523333333,2.35862069,17.94705882,0.0,18.35263158,1019.0
2013,June,11.60344828,4.175,20.5375,0.0,15.64285714,1017.9
2013,March,18.42333333,13.064,25.62666667,7.666666667,19.67894737,1015.1
2013,May,13.18214286,6.634615385,21.67142857,3.285714286,15.44166667,1015.8
2013,November,20.52142857,13.83076923,26.85,12.6,24.61578947,1011.4
2013,October,18.65483871,12.02,27.69090909,2.582352941,23.19655172,1013.8
2013,September,12.81666667,5.733333333,21.69047619,0.2,22.93684211,1017.3
2014,April,16.04666667,11.01428571,22.355,4.311111111,17.04482759,1016.0
2014,August,13.56129032,6.363333333,21.09545455,0.0,22.07931034,1016.9
2014,December,22.80666667,15.708,30.80555556,7.881818182,20.33928571,1010.5
2014,February,20.47307692,16.224,26.2,3.607142857,17.25,1011.8
2014,January,24.31612903,17.86551724,33.66923077,7.645454545,17.484,1009.1
2014,July,10.50967742,3.282142857,19.03157895,0.0,17.96363636,1018.8
2014,June,10.26551724,4.04137931,18.655,0.183333333,17.91153846,1017.8
2014,March,18.00333333,12.78888889,25.225,7.711111111,16.52222222,1013.7
2014,May,13.12333333,8.203448276,19.56,0.575,15.72068966,1016.8
2014,November,19.92666667,13.77083333,31.1,6.3,20.17241379,1012.6
2014,October,19.97,13.82962963,28.02777778,7.22,23.76153846,1012.4
2014,September,15.47333333,8.992857143,23.43333333,3.94,22.00357143,1014.1
2015,April,19.51071429,13.532,27.62857143,7.0,12.63157895,1014.3
2015,August,13.13,7.488461538,21.42631579,0.771428571,16.168,1014.4
2015,December,23.19354839,17.14285714,31.02941176,5.335714286,20.46538462,1009.3
2015,February,21.26,16.36363636,27.425,14.24375,20.41666667,1012.5
